Year,Month,Month_num,Distance
2015,January,1,20.08
2018,January,1,346.38
2019,January,1,336.4
2020,January,1,329.58
2021,January,1,370.62
2022,January,1,172.54
2023,January,1,414.54999999999995
2018,February,2,392.63
2019,February,2,489.96
2020,February,2,342.16
2021,February,2,320.09
2022,February,2,541.74
2017,March,3,118.05000000000001
2018,March,3,589.17
2019,March,3,425.76000000000005
2020,March,3,687.54
2021,March,3,452.21000000000004
2022,March,3,559.4
2014,April,4,41.41
2016,April,4,28.11
2017,April,4,300.23
2018,April,4,616.76
2019,April,4,399.54
2020,April,4,1050.33
2021,April,4,842.83
2022,April,4,521.09
2014,May,5,290.55
2015,May,5,145.84
2016,May,5,47.7
2017,May,5,321.81
2018,May,5,748.3199999999999
2019,May,5,662.2
2020,May,5,777.1
2021,May,5,791.79
2022,May,5,271.58
2014,June,6,133.09
2015,June,6,158.72
2016,June,6,123.53
2017,June,6,95.49000000000001
2018,June,6,786.32
2019,June,6,82.32
2020,June,6,702.38
2021,June,6,686.9
2012,July,7,59.25
2014,July,7,219.35999999999999
2015,July,7,354.95
2016,July,7,460.13
2017,July,7,429.31
2018,July,7,489.51
2019,July,7,504.37
2020,July,7,1080.41
2021,July,7,951.54
2022,July,7,528.45
2014,August,8,297.38
2015,August,8,76.78
2016,August,8,74.07
2017,August,8,212.11
2018,August,8,616.14
2019,August,8,556.12
2020,August,8,498.07
2021,August,8,686.1
2022,August,8,406.8
2014,September,9,164.67000000000002
2015,September,9,34.46
2016,September,9,214.97
2017,September,9,93.66
2018,September,9,665.25
2019,September,9,503.29
2020,September,9,770.17
2021,September,9,738.81
2022,September,9,328.4
2014,October,10,80.0
2015,October,10,105.81
2016,October,10,58.35
2017,October,10,107.78
2018,October,10,363.63
2019,October,10,535.47
2020,October,10,562.13
2021,October,10,383.53
2022,October,10,332.03
2017,November,11,214.29000000000002
2018,November,11,56.010000000000005
2019,November,11,406.45
2020,November,11,238.29
2021,November,11,349.96
2022,November,11,70.97999999999999
2017,December,12,231.46
2019,December,12,132.2
2020,December,12,467.65999999999997
2021,December,12,128.96
2022,December,12,112.14
